Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Sc,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Educ,Family_Income,Stress_Level (1-10)
S000,John,Brown,student0@univ.edu,Male,20,Business,71.92,97,46,58.7,73.05,28.56,56.73,82.87,C,19.7,No,No,PhD,High,6
S001,Omar,Brown,student1@univ.edu,Male,19,Mathematics,67.86,43,89,86.51,72.15,63.3,60.66,40.77,F,16.1,Yes,No,High School,High,5
S002,Ahmed,Davis,student2@univ.edu,Male,19,Engineering,87.09,82,68,84.18,72.31,71.31,88.56,49.67,A,8.6,No,No,None,High,6
S003,Ali,Johnson,student3@univ.edu,Female,21,Engineering,67.81,44,93,92.33,77.22,92.87,66.21,43.07,A,21.7,No,No,Bachelor's,Medium,3
S004,Omar,Johnson,student4@univ.edu,Male,23,CS,51.2,76,99,92.25,55.84,69.42,99.69,74.53,D,19.0,No,No,Bachelor's,Low,6
S005,Omar,Smith,student5@univ.edu,Male,20,CS,98.01,54,46,52.39,89.95,19.08,70.44,48.7,B,23.7,No,No,Master's,Medium,9
S006,Emma,Brown,student6@univ.edu,Male,22,Engineering,66.98,60,98,76.24,99.11,23.54,78.64,43.15,C,12.7,No,Yes,PhD,Low,3
S007,Liam,Williams,student7@univ.edu,Female,23,CS,54.06,86,53,68.3,93.91,23.95,51.25,46.64,F,22.0,Yes,Yes,None,High,2
S008,Maria,Williams,student8@univ.edu,Female,24,Business,63.55,55,78,66.49,87.63,25.86,67.34,82.55,D,17.0,No,No,High School,High,2
S009,Ahmed,Williams,student9@univ.edu,Male,21,Business,95.97,54,88,59.8,94.9,52.54,72.48,42.35,F,27.8,Yes,Yes,High School,Medium,7
S010,Ali,Smith,student10@univ.edu,Female,19,Business,90.42,90,59,76.9,68.4,72.46,96.71,41.48,A,24.8,No,No,PhD,Medium,2
S011,Sara,Johnson,student11@univ.edu,Male,19,Mathematics,58.18,87,98,86.24,95.79,82.17,95.73,54.21,B,14.9,No,No,High School,Low,10
S012,Sara,Jones,student12@univ.edu,Male,23,CS,90.02,76,71,65.38,60.96,50.89,61.61,63.48,B,9.3,Yes,No,None,Low,8
S013,Ali,Davis,student13@univ.edu,Female,18,Mathematics,85.67,93,54,92.49,65.06,15.07,86.55,99.42,C,19.5,Yes,Yes,PhD,Low,7
S014,Sara,Johnson,student14@univ.edu,Female,19,Mathematics,95.34,45,48,73.39,95.05,39.21,77.87,58.18,C,15.1,No,Yes,None,Medium,5
S015,Ahmed,Smith,student15@univ.edu,Female,24,Mathematics,50.73,41,70,98.55,86.96,53.2,90.43,91.64,A,14.7,No,No,High School,Medium,5
S016,Ali,Davis,student16@univ.edu,Female,21,Mathematics,57.56,49,63,78.79,80.27,66.7,82.96,74.54,D,22.7,No,Yes,PhD,Medium,10
S017,Sara,Davis,student17@univ.edu,Female,22,Mathematics,65.82,46,64,52.44,92.21,55.44,81.89,48.23,D,20.3,No,Yes,Bachelor's,Low,9
S018,Omar,Williams,student18@univ.edu,Female,21,Business,53.57,95,89,98.27,58.5,39.76,94.68,64.55,D,14.7,No,Yes,PhD,Medium,10
S019,Maria,Smith,student19@univ.edu,Male,21,Mathematics,82.11,59,54,84.79,87.63,87.54,50.46,87.74,C,13.4,Yes,No,None,High,3
S020,Ali,Smith,student20@univ.edu,Male,20,Mathematics,84.11,45,40,91.65,52.31,92.51,59.59,40.48,C,18.6,Yes,Yes,High School,High,7
S021,Omar,Williams,student21@univ.edu,Male,19,Engineering,61.06,54,59,82.35,87.77,26.35,65.92,49.09,C,25.4,No,No,Bachelor's,Medium,1
S022,Maria,Williams,student22@univ.edu,Female,23,CS,98.95,59,78,82.55,94.85,55.41,97.59,83.64,C,10.9,Yes,No,None,Medium,6
S023,Ali,Williams,student23@univ.edu,Female,21,CS,69.92,61,59,61.1,71.2,76.85,65.01,63.72,D,8.7,Yes,Yes,High School,Low,9
S024,Liam,Johnson,student24@univ.edu,Male,18,Engineering,83.69,79,49,88.47,60.87,93.71,78.17,46.47,F,15.1,Yes,Yes,None,Low,6
S025,Ahmed,Williams,student25@univ.edu,Male,23,Mathematics,67.66,89,74,60.81,69.01,53.78,91.54,65.2,B,25.1,Yes,Yes,Bachelor's,High,5
S026,Ali,Johnson,student26@univ.edu,Male,22,Engineering,65.7,67,40,62.58,94.91,80.66,95.11,73.42,B,23.0,No,No,High School,Medium,4
S027,Omar,Brown,student27@univ.edu,Female,24,Business,84.3,65,54,52.2,92.84,86.46,71.94,87.01,A,12.3,No,Yes,High School,High,7
S028,Maria,Brown,student28@univ.edu,Male,18,CS,65.2,92,94,88.56,57.64,68.11,75.09,70.01,C,24.2,Yes,Yes,High School,Low,1
S029,Emma,Smith,student29@univ.edu,Female,23,CS,66.51,91,67,79.94,81.45,50.41,53.81,71.63,C,9.7,No,Yes,PhD,Medium,1
S030,Liam,Johnson,student30@univ.edu,Male,20,Mathematics,66.81,71,62,82.79,82.97,76.59,74.65,82.18,F,23.8,No,Yes,PhD,Low,2
S031,Maria,Smith,student31@univ.edu,Male,19,Mathematics,71.84,54,47,80.76,52.82,95.19,66.01,55.32,D,10.3,No,Yes,Master's,High,6
S032,Ali,Davis,student32@univ.edu,Female,22,Business,53.46,94,80,60.89,82.78,93.49,99.79,79.1,D,9.2,Yes,Yes,None,Low,9
S033,Omar,Johnson,student33@univ.edu,Male,22,Business,65.27,58,70,93.68,69.17,99.24,67.32,73.63,C,19.6,Yes,Yes,Master's,Low,2
S034,John,Smith,student34@univ.edu,Female,18,Mathematics,60.15,72,64,88.08,59.63,25.56,52.1,62.59,A,9.8,Yes,No,PhD,Medium,4
S035,John,Williams,student35@univ.edu,Male,20,CS,52.23,78,98,79.54,55.97,38.97,72.65,61.71,C,5.4,No,Yes,High School,Low,7
S036,John,Jones,student36@univ.edu,Male,24,CS,91.43,81,80,97.09,87.66,91.33,67.69,42.24,B,11.0,No,No,High School,High,10
S037,Omar,Jones,student37@univ.edu,Female,19,Business,65.4,91,66,55.59,74.18,42.16,79.3,80.95,D,13.2,Yes,No,None,High,2
S038,Sara,Jones,student38@univ.edu,Female,21,CS,99.07,83,97,97.58,57.18,41.34,65.05,48.96,B,7.8,Yes,No,High School,High,10
S039,Omar,Davis,student39@univ.edu,Male,18,Engineering,60.35,48,76,89.02,83.05,56.26,87.35,75.99,B,15.4,No,Yes,Master's,Low,4
S040,Emma,Williams,student40@univ.edu,Female,21,Business,54.88,87,63,70.78,84.87,81.6,97.95,48.09,F,11.1,Yes,No,High School,Low,1
S041,Ali,Davis,student41@univ.edu,Male,19,Mathematics,72.56,46,61,53.99,98.71,89.56,59.54,78.38,F,27.0,No,No,Bachelor's,High,8
S042,Liam,Williams,student42@univ.edu,Male,19,CS,82.5,68,61,74.15,84.54,9.88,72.23,75.05,D,9.5,Yes,No,Bachelor's,Low,6
S043,Liam,Johnson,student43@univ.edu,Male,22,Mathematics,88.86,62,78,95.9,83.45,66.19,95.38,60.58,D,29.0,No,No,Master's,Low,5
S044,Sara,Jones,student44@univ.edu,Male,19,Mathematics,80.96,42,46,51.48,59.32,0.41,92.42,64.34,F,13.7,No,No,Bachelor's,High,1
S045,Omar,Brown,student45@univ.edu,Male,18,Business,63.59,71,54,97.14,76.43,53.07,94.57,43.39,F,8.8,No,Yes,High School,High,7
S046,Ahmed,Johnson,student46@univ.edu,Female,22,Mathematics,76.44,55,80,73.4,71.61,24.85,92.93,42.35,B,13.4,No,Yes,None,High,4
S047,John,Jones,student47@univ.edu,Male,24,CS,67.86,78,88,71.27,50.96,46.39,52.07,90.59,F,5.6,Yes,Yes,Master's,Low,7
S048,Ahmed,Johnson,student48@univ.edu,Male,23,Mathematics,67.54,98,69,55.89,77.97,38.24,67.42,93.07,F,25.6,Yes,No,PhD,High,4
S049,Sara,Johnson,student49@univ.edu,Female,19,Engineering,86.8,64,55,86.07,67.34,29.21,93.62,59.19,D,23.5,Yes,No,Bachelor's,Low,6
S050,Ahmed,Davis,student50@univ.edu,Male,19,Business,99.47,45,66,72.44,91.02,68.08,70.21,72.07,A,8.7,No,No,Master's,Low,7
S051,John,Johnson,student51@univ.edu,Female,24,CS,59.74,75,68,55.02,79.43,24.53,83.89,72.08,F,10.0,No,No,None,Medium,10
S052,Sara,Smith,student52@univ.edu,Female,18,Mathematics,73.08,73,61,62.45,75.08,3.55,65.76,54.26,F,18.0,No,No,Master's,High,3
S053,Omar,Smith,student53@univ.edu,Female,20,Mathematics,70.99,80,75,98.64,80.55,23.5,78.82,89.0,A,6.0,No,No,None,High,10
S054,John,Davis,student54@univ.edu,Female,24,Engineering,57.5,73,56,66.86,84.76,87.31,84.41,73.54,D,8.4,Yes,Yes,None,Low,3
S055,Emma,Smith,student55@univ.edu,Male,20,Business,76.29,43,73,82.57,80.08,77.67,53.32,49.5,B,10.9,Yes,No,Master's,Medium,3
S056,Sara,Johnson,student56@univ.edu,Female,19,Mathematics,87.66,93,95,85.1,99.74,99.98,86.78,40.01,B,9.0,Yes,No,Master's,Low,4
S057,Emma,Brown,student57@univ.edu,Female,23,CS,84.62,42,40,99.09,78.24,24.59,85.17,79.42,A,14.2,Yes,Yes,PhD,High,10
S058,John,Johnson,student58@univ.edu,Female,23,Business,77.06,74,81,93.17,51.44,69.43,71.85,68.39,F,5.5,No,Yes,None,High,3
S059,Maria,Johnson,student59@univ.edu,Female,20,Business,50.05,73,68,71.55,91.33,22.31,76.47,87.63,A,5.1,No,No,None,High,5
S060,Ali,Williams,student60@univ.edu,Male,20,Mathematics,51.61,66,40,80.41,72.61,83.39,62.72,67.37,D,8.5,Yes,No,PhD,High,5
S061,Ahmed,Davis,student61@univ.edu,Male,20,Engineering,65.22,94,67,60.98,78.53,15.89,78.03,71.96,C,21.9,No,Yes,High School,Low,5
S062,Sara,Jones,student62@univ.edu,Female,20,Business,53.58,44,54,53.56,98.56,81.18,70.47,91.41,D,22.7,No,Yes,Bachelor's,Medium,7
S063,Ali,Smith,student63@univ.edu,Female,24,Business,98.88,55,77,57.66,54.99,49.85,75.77,61.47,B,28.9,Yes,No,High School,High,1
S064,Liam,Johnson,student64@univ.edu,Male,21,Business,75.45,55,47,72.23,87.9,87.32,67.63,80.34,C,23.9,Yes,Yes,High School,Medium,10
S065,Emma,Davis,student65@univ.edu,Male,23,Mathematics,89.23,86,70,65.98,91.44,90.51,62.95,98.42,A,26.8,No,No,None,Medium,9
S066,Maria,Jones,student66@univ.edu,Male,18,Engineering,65.93,65,87,99.22,94.16,80.77,84.83,82.59,C,27.5,Yes,No,PhD,Medium,6
